Fahrt;Ab;Nach;Via;Gleis/Kante/ Haltestelle
S 16 19633;09:15;Herrliberg-Feldmeilen ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikon- Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Herrliberg-Feldmeilen;43/44
S 16 19632;09:16;Zürich Flughafen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Flughafen;41/42
S 2 18233;09:17;Ziegelbrücke ;Zürich HB- Zürich Wiedikon- Zürich Enge- Thalwilâ€¢ Horgen- Wädenswil- Richterswil- Pfäffikon SZ- Siebnen-Wangen- Ziegelbrücke;31
S 12 19233;09:17;Seuzach ;Zürich HB- Zürich Stadelhofen- Stettbach- Winterthur- Oberwinterthur- Winterthur Wallrüti- Reutlingen- Seuzach;43/44
S 4 24463;09:18;Sihlwald;Zürich HB SZU- Zürich Selnau- Zürich Giesshübel- Zürich Saalsporthalleâ€¢ Zürich Brunau- Zürich Manegg- Zürich Leimbach- Sood-Oberleimbach- Langnau-Gattikon- Sihlwald;21-Zürich HB SZU
S 7 18732;09:19;Winterthur ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Opfikonâ€¢ Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19432;09:19;Affoltern am Albis ;Zürich HB- Zürich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19933;09:19;Effretikon ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20433;09:21;Zug ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
S 15 19532;09:22;Niederweningen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Dielsdorf- SchÃ¶fflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
S 5 18533;09:25;Pfäffikon SZ ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil- Pfäffikon SZ;43/44
S 8 18832;09:25;Winterthur ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon- Winterthur;33
S 10 24765;09:25;Zürich Triemli;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli;22-Zürich HB SZU
S 9 18933;09:28;Uster ;Zürich HB- Zürich Stadelhofen- Stettbach- Dübendorf- Schwerzenbach ZH- Nänikon-Greifensee- Uster;43/44
S 3 18332;09:29;Dietikon ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlieren- Glanzenberg- Dietikon;41/42
ICN 1514;09:30;Lausanne ;Zürich HB- Olten- Oensingen- Solothurn- Grenchen Süd- Biel/Bienne- NeuchÃ¢tel- Yverdon-les-Bains- Lausanne;31
S 6 18633;09:30;Uetikon ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikonâ€¢ Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Meilen- Uetikon;43/44
S 6 18634;09:31;Baden ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Seebachâ€¢ Zürich Affoltern- Regensdorf-Watt- Buchs-Dällikon- Otelfingen Golfpark- Wettingen- Baden;41/42
EC 15;09:32;Milano Centrale ;Zürich HB- Zug- Arth-Goldau- Bellinzona- Lugano- Chiasso- Monza- Milano Centrale;9
IC 712;09:32;GenÃ¨ve-AÃ©roport ;Zürich HB- Bern- Fribourg/Freiburg- Lausanne- GenÃ¨ve- GenÃ¨ve-AÃ©roport;32
IC 709;09:33;St. Gallen ;Zürich HB- Zürich Flughafen- Winterthur- St. Gallen;34
S 3 18335;09:33;Wetzikon ;Zürich HB- Zürich Stadelhofen- Stettbach- Dietlikonâ€¢ Effretikon- Illnau- Fehraltorf- Pfäffikon ZH- Kempten- Wetzikon;43/44
IC 562;09:34;Basel SBB ;Zürich HB- Basel SBB;13
IR 2635;09:35;Luzern ;Zürich HB- Thalwil- Baar- Zug- Rotkreuz- Luzern;8
IR 2814;09:35;Schaffhausen ;Zürich HB- Schaffhausen;7
S 10 24767;09:35;Uetliberg;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zürich HB SZU
IR 1964;09:36;Basel SBB ;Zürich HB- Baden- Brugg AG- Frick- Stein-Säckingen- Rheinfelden- Basel SBB;17
IC 563;09:37;Chur ;Zürich HB- Sargans- Landquart- Chur;10
IR 2113;09:37;Konstanz ;Zürich HB- Zürich Flughafen- Winterthur- Frauenfeld- Weinfelden- Kreuzlingen- Konstanz;14
S 8 18835;09:37;Pfäffikon SZ ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Wädenswil- Richterswil- Pfäffikon SZ;31
S 9 18934;09:37;Rafz ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Bülach- Glattfelden- Eglisau- Rafz;41/42
RE 4814;09:38;Aarau ;Zürich HB- Lenzburg- Aarau;16
S 4 24467;09:38;Langnau-Gattikon;Zürich HB SZU- Zürich Selnau- Zürich Giesshübel- Zürich Saalsporthalleâ€¢ Zürich Brunau- Zürich Manegg- Zürich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zürich HB SZU
ICN 1513;09:39;St. Gallen ;Zürich HB- Zürich Flughafen- Winterthur- Wil SG- Uzwil- Flawil- Gossau SG- St. Gallen;33
S 5 18534;09:39;Zug ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Urdorfâ€¢ Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19535;09:40;Rapperswil ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil;43/44
S 19 19934;09:41;Dietikon ;Zürich HB- Zürich Altstetten- Dietikon;32
S 7 18735;09:42;Rapperswil ;Zürich HB- Zürich Stadelhofen- Meilen- Uetikonâ€¢ Männedorf- Stäfa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19435;09:42;Hinwil ;Zürich HB- Zürich Oerlikon- Wallisellen- Dübendorfâ€¢ Schwerzenbach ZH- Nänikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 25 20535;09:43;Linthal ;Zürich HB- Wädenswil- Pfäffikon SZ- Lachenâ€¢ Siebnen-Wangen- Ziegelbrücke- Nieder- und Oberurnen- Näfels-Mollis- Schwanden GL- Linthal;6
S 2 18234;09:44;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;33
S 12 19234;09:44;Brugg AG ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlierenâ€¢ Glanzenberg- Dietikon- Wettingen- Baden- Turgi- Brugg AG;41/42
S 24 20434;09:44;Thayngen ;Zürich HB- Zürich Wipkingen- Zürich Oerlikon- Zürich Flughafenâ€¢ Effretikon- Winterthur- Neuhausen- Schaffhausen- Herblingen- Thayngen;5
S 16 19635;09:45;Herrliberg-Feldmeilen ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikon- Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Herrliberg-Feldmeilen;43/44
S 16 19634;09:46;Zürich Flughafen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Flughafen;41/42
S 2 18235;09:47;Ziegelbrücke ;Zürich HB- Zürich Wiedikon- Zürich Enge- Thalwilâ€¢ Horgen- Wädenswil- Richterswil- Pfäffikon SZ- Siebnen-Wangen- Ziegelbrücke;31
S 12 19235;09:47;Winterthur Seen ;Zürich HB- Zürich Stadelhofen- Stettbach- Winterthur- Winterthur Grüze- Winterthur Seen;43/44
S 7 18734;09:49;Winterthur ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Opfikonâ€¢ Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19434;09:49;Affoltern am Albis ;Zürich HB- Zürich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19935;09:49;Effretikon ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20435;09:51;Zug ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
IR 2063;09:52;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;33
S 15 19534;09:52;Niederweningen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Dielsdorf- SchÃ¶fflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
IR 2364;09:55;Bern ;Zürich HB- Olten- Langenthal- Herzogenbuchsee- Burgdorf- Bern;18
S 5 18535;09:55;Pfäffikon SZ ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil- Pfäffikon SZ;43/44
S 8 18834;09:55;Weinfelden ;Zürich HB- Zürich Oerlikon- Wallisellen- Dietlikonâ€¢ Effretikon- Winterthur- Oberwinterthur- Wiesendangen- Frauenfeld- Weinfelden;34
S 10 24771;09:55;Zürich Triemli;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli;22-Zürich HB SZU
S 9 18935;09:58;Uster ;Zürich HB- Zürich Stadelhofen- Stettbach- Dübendorf- Schwerzenbach ZH- Nänikon-Greifensee- Uster;43/44
S 4 24471;09:58;Langnau-Gattikon;Zürich HB SZU- Zürich Selnau- Zürich Giesshübel- Zürich Saalsporthalleâ€¢ Zürich Brunau- Zürich Manegg- Zürich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zürich HB SZU
S 3 18334;09:59;Aarau ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Schlierenâ€¢ Glanzenberg- Dietikon- Killwangen-Spreitenbach- Othmarsingen- Lenzburg- Aarau;41/42
ICE 74;10:00;Kiel Hbf ;Zürich HB- Basel SBB- Basel Bad Bf- Freiburg (Breisgau) Hbfâ€¢ Karlsruhe Hbf- Mannheim Hbf- Frankfurt (Main) Hbf- Hannover Hbf- Hamburg Hbf- Kiel Hbf;15
S 6 18635;10:00;Uetikon ;Zürich HB- Zürich Stadelhofen- Zürich Tiefenbrunnen- Zollikonâ€¢ Küsnacht Goldbach- Küsnacht ZH- Erlenbach ZH- Winkel am Zürichsee- Meilen- Uetikon;43/44
IR 2632;10:01;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;6
S 6 18636;10:01;Baden ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Zürich Seebachâ€¢ Zürich Affoltern- Regensdorf-Watt- Buchs-Dällikon- Otelfingen Golfpark- Wettingen- Baden;41/42
IC 812;10:02;Brig ;Zürich HB- Bern- Thun- Spiez- Visp- Brig;31
ICN 516;10:03;GenÃ¨ve-AÃ©roport ;Zürich HB- Aarau- Olten- Solothurnâ€¢ Biel/Bienne- NeuchÃ¢tel- Yverdon-les-Bains- Morges- GenÃ¨ve- GenÃ¨ve-AÃ©roport;16
S 3 18337;10:03;Wetzikon ;Zürich HB- Zürich Stadelhofen- Stettbach- Dietlikonâ€¢ Effretikon- Illnau- Fehraltorf- Pfäffikon ZH- Kempten- Wetzikon;43/44
IR 2637;10:04;Luzern ;Zürich HB- Thalwil- Zug- Luzern;5
RE 4916;10:05;Schaffhausen ;Zürich HB- Zürich Oerlikon- Bülach- Schaffhausen;12
S 10 24773;10:05;Uetliberg;Zürich HB SZU- Zürich Selnau- Zürich Binz- Zürich Friesenberg- Zürich Schweighof- Zürich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zürich HB SZU
IR 2166;10:06;Bern ;Zürich HB- Baden- Brugg AG- Aarau- Olten- Bern;17
ICE 271;10:07;Chur ;Zürich HB- Sargans- Landquart- Chur;9
IC 811;10:07;Romanshorn ;Zürich HB- Zürich Flughafen- Winterthur- Frauenfeld- Weinfelden- Amriswil- Romanshorn;33
S 8 18837;10:07;Pfäffikon SZ ;Zürich HB- Zürich Wiedikon- Zürich Enge- Zürich Wollishofenâ€¢ Kilchberg- Rüschlikon- Thalwil- Wädenswil- Richterswil- Pfäffikon SZ;32
S 9 18936;10:07;Schaffhausen ;Zürich HB- Zürich Hardbrücke- Zürich Oerlikon- Glattbruggâ€¢ Rümlang- Oberglatt- Bülach- Eglisau- Neuhausen- Schaffhausen;41/42
ICE 70271;10:07;Chur ;Zürich HB- Sargans- Landquart- Chur;9
IR 2262;10:08;Basel SBB ;Zürich HB- Lenzburg- Aarau- Sissach- Liestal- Basel SBB;14
IR 2066;10:09;Basel SBB ;Zürich HB- Zürich Altstetten- Dietikon- Baden- Brugg AG- Frick- Rheinfelden- Basel SBB;31
IR 2263;10:09;St. Gallen ;Zürich HB- Zürich Flughafen- Winterthur- Wil SG- Gossau SG- St. Gallen;11
IR 2417;10:09;Locarno ;Zürich HB- Zug- Arth-Goldau- Schwyzâ€¢ Brunnen- GÃ¶schenen- Biasca- Bellinzona- Cadenazzo- Locarno;7
S 5 18536;10:09;Zug ;Zürich HB- Zürich Hardbrücke- Zürich Altstetten- Urdorfâ€¢ Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19537;10:10;Rapperswil ;Zürich HB- Zürich Stadelhofen- Uster- Wetzikon- Bubikon- Rüti ZH- Jona- Rapperswil;43/44
S 19 19936;10:11;Dietikon ;Zürich HB- Zürich Altstetten- Dietikon;32
RE 5067;10:12;Chur ;Zürich HB- Thalwil- Wädenswil- Pfäffikon SZâ€¢ Siebnen-Wangen- Ziegelbrücke- Walenstadt- Sargans- Landquart- Chur;8
S 7 18737;10:12;Rapperswil ;Zürich HB- Zürich Stadelhofen- Meilen- Uetikonâ€¢ Männedorf- Stäfa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19437;10:12;Hinwil ;Zürich HB- Zürich Oerlikon- Wallisellen- Dübendorfâ€¢ Schwerzenbach ZH- Nänikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 2 18236;10:14;Zürich Flughafen ;Zürich HB- Zürich Oerlikon- Zürich Flughafen;33
